DATE,TRUCK,TRIP #,LEG ORG,LEG DEST,ZIP/POSTAL,MILES QTY,VMR RATE,MILEAGE PLUS,PREMIUMS,FUEL,TOTAL RATE,$ AMT,# PKGS,PKG $ AMT,D AND H,TOLLS,FLAT RATE,DAILY GROSS $ AMT,DRIVER #1,DRIVER #2
9-11-18,456,118256513,89,5087,8832,5,2.816,0.095,0,0.287,3.198,16,0,0,9,0,0,25,7297759,
9-11-18,456,118257154,5087,5431,8837,527,1.305,0.095,0,0.287,1.687,889.06,0,0,9,0,0,898.06,7297759,
24-11-18,456,118906755,432,5431,43123,9,3.035,0.125,0,0.2382,3.3982,30.59,0,0,0,0,0,30.59,7297759,7467174
24-11-18,456,118906795,5431,5087,43123,527,1.416,0.125,0,0.2382,1.7792,937.64,0,0,13,0,0,950.64,7297759,7467174
24-11-18,456,118944179,5087,182,8837,76,1.452,0.095,0,0.2382,1.7852,135.67,0,0,9,0,0,144.67,7297759,
24-11-18,456,118947068,182,432,18067,460,1.416,0.125,0,0.2382,1.7792,818.43,0,0,13,0,0,831.43,7297759,7467174
26-11-18,456,118990353,432,5431,43123,9,3.035,0.125,0,0.2382,3.3982,30.59,0,0,13,0,0,43.59,7467174,7763609
26-11-18,456,118991318,5431,5087,43123,527,1.416,0.125,0,0.2382,1.7792,937.64,0,0,13,0,0,950.64,7467174,7763609
26-11-18,456,119010630,5087,5431,8837,527,1.416,0.125,0,0.2382,1.7792,937.64,0,0,9,0,0,946.64,7467174,7763609
27-11-18,456,119063701,5431,5087,43123,527,1.416,0.125,0,0.2382,1.7792,937.64,0,0,13,0,0,950.64,7297759,7467174
27-11-18,456,119077192,5087,5431,8837,527,1.305,0.095,0,0.2382,1.6382,863.34,0,0,9,0,0,872.34,7297759,
28-11-18,456,119102104,5431,432,43123,8,3.092,0.125,0,0.2382,3.4552,27.65,0,0,13,0,0,40.65,7297759,7467174
28-11-18,456,119104623,432,5087,43123,529,1.416,0.125,0,0.2382,1.7792,941.2,0,0,13,0,0,954.2,7297759,7467174
28-11-18,456,119150176,5087,5431,8837,527,1.305,0.095,0,0.2382,1.6382,863.34,0,0,9,0,0,872.34,7297759,
29-11-18,456,119178351,5431,5087,43123,527,1.416,0.125,0,0.2382,1.7792,937.64,0,0,13,0,0,950.64,7297759,7467174
29-11-18,456,119220437,5087,5431,8837,527,1.416,0.125,0,0.2382,1.7792,937.64,0,0,9,0,0,946.64,7297759,7467174
30-11-18,456,119245509,5431,5087,43123,527,1.416,0.125,0,0.2382,1.7792,937.64,0,0,13,0,0,950.64,7297759,7467174
30-11-18,456,119290076,5087,5431,8837,527,1.416,0.125,0,0.2382,1.7792,937.64,0,0,9,0,0,946.64,7297759,7467174
3-11-18,654,117982157,406,8312,41051,573,1.416,0.125,0,0.2545,1.7955,1028.83,0,0,13,0,0,1041.83,7777638,8095491
3-11-18,654,118010055,8312,406,31091,574,1.416,0.125,0,0.2545,1.7955,1030.61,0,0,13,0,0,1043.61,7777638,8095491
6-11-18,654,118072235,406,8312,41051,573,1.416,0.125,0,0.2545,1.7955,1028.83,0,0,13,0,0,1041.83,7777638,8095491
6-11-18,654,118098743,8312,406,31091,574,1.416,0.125,0,0.2545,1.7955,1030.61,0,0,13,0,0,1043.61,7777638,8095491
9-11-18,654,118235873,406,8312,41051,573,1.416,0.125,0,0.2545,1.7955,1028.83,0,0,13,0,0,1041.83,7777638,8095491
9-11-18,654,118265269,8312,406,31091,574,1.416,0.125,0,0.2545,1.7955,1030.61,0,0,13,0,0,1043.61,7777638,8095491
26-11-18,654,118991434,406,8312,41051,573,1.416,0.125,0,0.2057,1.7467,1000.87,0,0,13,0,0,1013.87,7777638,8095491
26-11-18,654,119013926,8312,406,31091,574,1.416,0.125,0,0.2057,1.7467,1002.6,0,0,13,0,0,1015.6,7777638,8095491
27-11-18,654,119040809,406,8312,41051,573,1.416,0.125,0,0.2057,1.7467,1000.87,0,0,13,0,0,1013.87,7777638,8095491
27-11-18,654,119081372,8312,406,31091,574,1.416,0.125,0,0.2057,1.7467,1002.6,0,0,13,0,0,1015.6,7777638,8095491
28-11-18,654,119109537,406,8312,41051,573,1.416,0.125,0,0.2057,1.7467,1000.87,0,0,13,0,0,1013.87,7777638,8095491
28-11-18,654,119155083,8312,406,31091,574,1.416,0.125,0,0.2057,1.7467,1002.6,0,0,13,0,0,1015.6,7777638,8095491
29-11-18,654,119185172,406,8312,41051,573,1.416,0.125,0,0.2057,1.7467,1000.87,0,0,13,0,0,1013.87,7777638,8095491
29-11-18,654,119229713,8312,406,31091,574,1.416,0.125,0,0.2057,1.7467,1002.6,0,0,9,0,0,1011.6,7777638,8095491
30-11-18,654,119279633,406,8312,41051,573,1.416,0.125,0,0.2057,1.7467,1000.87,0,0,13,0,0,1013.87,7777638,8095491
30-11-18,654,119300558,8312,406,31091,574,1.416,0.125,0,0.2057,1.7467,1002.6,0,0,9,0,0,1011.6,7777638,8095491
28-11-18,654,119144650,432,5431,43123,9,2.614,0.095,0,0.2382,2.9472,26.53,0,0,9,0,0,35.53,7741037,
28-11-18,654,119145857,5431,5481,43123,188,1.305,0.095,0,0.2382,1.6382,307.98,0,0,9,0,0,316.98,7741037,
28-11-18,654,119153295,5481,436,48111,56,1.575,0.095,0,0.2382,1.9082,106.86,0,0,0,0,0,106.86,7741037,
28-11-18,654,119153317,436,4436,43551,8,2.661,0.095,0,0.2382,2.9942,23.96,0,0,0,0,28.4,52.36,7741037,
28-11-18,654,119157852,4436,432,43607,145,1.305,0.095,0,0.2382,1.6382,237.55,0,0,0,0,0,237.55,7741037,
